Pressure	Volume
3.386250	94.370972
3.416138	94.482239
3.446033	94.593498
3.475940	94.704773
3.505859	94.816063
3.535797	94.927338
3.565735	95.038605
3.595685	95.149841
3.625644	95.261070
3.655604	95.372246
3.685588	95.483406
3.715564	95.594521
3.745547	95.705597
3.775524	95.816628
3.805511	95.927612
3.835500	96.038551
3.865481	96.149437
3.895468	96.260254
3.925457	96.371010
3.955442	96.481697
3.985418	96.592339
4.015380	96.702881
4.045357	96.813362
4.075318	96.923767
4.105278	97.034081
4.135213	97.144310
4.165155	97.254463
4.195084	97.364502
4.224993	97.474464
4.254903	97.584351
4.284801	97.694130
4.314684	97.803772
4.344554	97.913338
4.374413	98.022789
4.404259	98.132118
4.434089	98.241333
4.463895	98.350433
4.493691	98.459412
4.523471	98.568260
4.553215	98.676994
4.582951	98.785591
4.612660	98.894051
4.642365	99.002388
4.672029	99.110588
4.701670	99.218651
4.731287	99.326576
4.760888	99.434349
4.790457	99.541985
4.820008	99.649475
4.849524	99.756813
4.879004	99.863991
4.908474	99.971031
4.937905	100.077919
4.967319	100.184639
4.996686	100.291199
5.026024	100.397606
5.055340	100.503868
5.084626	100.609917
5.113885	100.715782
5.143128	100.821472
5.172307	100.927002
5.201466	101.032356
5.230604	101.137535
5.259689	101.242523
5.288753	101.347343
5.317759	101.451988
5.346750	101.556435
5.375696	101.660706
5.404606	101.764809
5.433475	101.868690
5.462305	101.972412
5.491096	102.075935
5.519853	102.179283
5.548565	102.282410
5.577236	102.385376
5.605860	102.488121
5.634452	102.590698
5.663001	102.693054
5.691505	102.795235
5.719974	102.897209
5.748398	102.998985
5.776769	103.100563
5.805104	103.201927
5.833395	103.303101
5.861666	103.403969
5.889872	103.504646
5.918051	103.605103
5.946187	103.705353
5.974252	103.805389
6.002306	103.905220
6.030286	104.004845
6.058243	104.104248
6.086150	104.203430
6.114000	104.302406
6.141808	104.401176
6.169569	104.499733
6.197278	104.598061
6.224956	104.696175
6.252567	104.794075
6.280149	104.891777
6.307670	104.989235
6.335154	105.086510
6.362581	105.183540
6.389977	105.280357
6.417305	105.376953
6.444598	105.473335
6.471833	105.569496
6.499021	105.665443
6.526174	105.761192
6.553275	105.856682
6.580327	105.951912
6.607337	106.046852
6.634295	106.141563
6.661209	106.236046
6.688083	106.330315
6.714906	106.424370
6.741669	106.518166
6.768405	106.611778
6.795073	106.705139
6.821712	106.798279
6.848297	106.891205
6.874825	106.983910
6.901323	107.076385
6.927752	107.168648
6.954148	107.260674
6.980491	107.352486
7.006786	107.444069
7.033043	107.535439
7.059251	107.626587
7.085408	107.717506
7.111517	107.808228
7.137573	107.898705
7.163595	107.988976
7.189559	108.079010
7.215490	108.168831
7.241370	108.258446
7.267201	108.347839
7.293003	108.436913
7.318749	108.525703
7.344465	108.614296
7.370128	108.702667
7.395750	108.790825
7.421311	108.878754
7.446856	108.966469
7.472342	109.053978
7.497781	109.141243
7.523181	109.228302
7.548552	109.315163
7.573863	109.401802
7.599137	109.488220
7.624372	109.574440
7.649560	109.660431
7.674700	109.746239
7.699816	109.831810
7.724870	109.917175
7.749887	110.002342
7.774894	110.087288
7.799830	110.172028
7.824728	110.256561
7.849579	110.340889
7.874419	110.425018
7.899199	110.508949
7.923939	110.592674
7.948650	110.676170
7.973332	110.759361
7.997969	110.842339
8.022580	110.925117
8.047140	111.007698
8.071666	111.090088
8.096168	111.172279
8.120612	111.254265
8.145041	111.336060
8.169432	111.417633
8.193778	111.499031
8.218091	111.580254
8.242373	111.661247
8.266631	111.742065
8.290840	111.822693
8.315019	111.903130
8.339170	111.983391
8.363276	112.063446
8.387358	112.143303
8.411408	112.222992
8.435439	112.302490
8.459428	112.381805
8.483384	112.460938
8.507305	112.539894
8.531199	112.618652
8.555079	112.697258
8.578892	112.775673
8.602718	112.853844
8.626506	112.931824
8.650246	113.009621
8.673988	113.087227
8.697683	113.164673
8.721349	113.241951
8.744998	113.319038
8.768620	113.395973
8.792196	113.472717
8.815767	113.549316
8.839308	113.625732
8.862821	113.701965
8.886317	113.778046
8.909776	113.853966
8.933217	113.929718
8.956625	114.005310
8.980018	114.080742
9.003390	114.156013
9.026716	114.231117
9.050035	114.306053
9.073338	114.380836
9.096616	114.455467
9.119873	114.529938
9.143106	114.604286
9.166298	114.678429
9.189494	114.752449
9.212677	114.826294
9.235820	114.899994
9.258949	114.973518
9.282047	115.046913
9.305136	115.120171
9.328227	115.193260
9.351259	115.266212
9.374290	115.339027
9.397305	115.411682
9.420291	115.484192
9.443275	115.556572
9.466229	115.628792
9.489173	115.700890
9.512094	115.772850
9.534992	115.844673
9.557899	115.916359
9.580759	115.987892
9.603630	116.059319
9.626471	116.130577
9.649285	116.201744
9.672096	116.272743
9.694886	116.343628
9.717679	116.414345
9.740436	116.484978
9.763185	116.555481
9.785908	116.625832
9.808652	116.696075
9.831335	116.766205
9.854050	116.836243
9.876708	116.906158
9.899375	116.975952
9.922031	117.045631
9.944669	117.115196
9.967282	117.184608
9.989892	117.253929
10.012501	117.323120
10.035094	117.392204
10.057673	117.461174
10.080225	117.529999
10.102768	117.598747
10.125316	117.667381
10.147841	117.735870
10.170358	117.804268
10.192880	117.872559
10.215359	117.940712
10.237852	118.008797
10.260335	118.076752
10.282792	118.144592
10.305256	118.212341
10.327697	118.279968
10.350139	118.347504
10.372571	118.414925
10.394976	118.482246
10.417393	118.549469
10.439946	118.614746
10.462584	118.678864
10.485225	118.742851
10.507841	118.806694
10.530487	118.870430
10.553099	118.934044
10.575705	118.997528
10.598310	119.060875
10.620918	119.124123
10.643510	119.187225
10.666103	119.250244
10.688688	119.313110
10.711295	119.375885
10.733843	119.438530
10.756432	119.501076
10.778980	119.563477
10.801566	119.625786
10.824123	119.687988
10.846671	119.750061
10.869226	119.812035
10.891772	119.873871
10.914309	119.935631
10.936833	119.997253
10.959384	120.058777
10.981898	120.120201
11.004435	120.181519
11.101281	121.379341
